,site_code,year,habitat.type,plot,ppt_ambient,ppt_drought,n_treat_days,perc_reduction,ppt_drought730,precip,AI,drtpct_map,drtpct_map730,amb_pct,amb_abspct,drtpct_map100,habitat.num,Extreme,Extreme.num,X,mass_category,prop.ave
112,esw.ca,2016,Grassland,5,968.0602151,786.3424731,136,18.77132632,807.8096774,1011.5,1.0935,-0.222597654,-0.201374516,-0.042945907,0.042945907,-22.25976539,1,Extr,1,29,GRAMINOID,0.086117555
113,esw.ca,2016,Grassland,6,968.0602151,786.3424731,136,18.77132632,807.8096774,1011.5,1.0935,-0.222597654,-0.201374516,-0.042945907,0.042945907,-22.25976539,1,Extr,1,29,GRAMINOID,0.086117555
114,falls.au,2018,Grassland,8,1338.52202,803.1132122,368,40,1705.615304,1239,1.9963,-0.351805317,0.376606379,0.080324471,0.080324471,-35.1805317,1,NotExtreme,0,32,GRAMINOID,0.36686006
115,falls.au,2018,Grassland,4,1338.52202,803.1132122,368,40,1705.615304,1239,1.9963,-0.351805317,0.376606379,0.080324471,0.080324471,-35.1805317,1,NotExtreme,0,32,GRAMINOID,0.36686006
116,falls.au,2018,Grassland,3,1338.52202,803.1132122,368,40,1705.615304,1239,1.9963,-0.351805317,0.376606379,0.080324471,0.080324471,-35.1805317,1,NotExtreme,0,32,GRAMINOID,0.36686006
117,freiburg.de,2016,Grassland,48,955.7,789.485,122,17.39196401,1064.1,934,1.029,-0.154726981,0.139293362,0.023233405,0.023233405,-15.47269807,1,NotExtreme,0,33,GRAMINOID,0.632135519
118,freiburg.de,2016,Grassland,42,955.7,789.485,122,17.39196401,1064.1,934,1.029,-0.154726981,0.139293362,0.023233405,0.023233405,-15.47269807,1,NotExtreme,0,33,GRAMINOID,0.632135519
119,freiburg.de,2016,Grassland,10,955.7,789.485,122,17.39196401,1064.1,934,1.029,-0.154726981,0.139293362,0.023233405,0.023233405,-15.47269807,1,NotExtreme,0,33,GRAMINOID,0.632135519
120,freiburg.de,2016,Grassland,26,955.7,789.485,122,17.39196401,1064.1,934,1.029,-0.154726981,0.139293362,0.023233405,0.023233405,-15.47269807,1,NotExtreme,0,33,GRAMINOID,0.632135519
121,gmgranite.us,2020,Shrubland,5,226.75,77.095,364,66,259.08,220,0.1766,-0.649568182,0.177636364,0.030681818,0.030681818,-64.95681818,2,NotExtreme,0,36,GRAMINOID,0.352641513
122,gmgranite.us,2020,Shrubland,7,226.75,77.095,364,66,259.08,220,0.1766,-0.649568182,0.177636364,0.030681818,0.030681818,-64.95681818,2,NotExtreme,0,36,GRAMINOID,0.352641513
123,gmgranite.us,2020,Shrubland,8,226.75,77.095,364,66,259.08,220,0.1766,-0.649568182,0.177636364,0.030681818,0.030681818,-64.95681818,2,NotExtreme,0,36,GRAMINOID,0.352641513
124,gmgranite.us,2020,Shrubland,9,226.75,77.095,364,66,259.08,220,0.1766,-0.649568182,0.177636364,0.030681818,0.030681818,-64.95681818,2,NotExtreme,0,36,GRAMINOID,0.352641513
125,gmgranite.us,2020,Shrubland,13,226.75,77.095,364,66,259.08,220,0.1766,-0.649568182,0.177636364,0.030681818,0.030681818,-64.95681818,2,NotExtreme,0,36,GRAMINOID,0.352641513
